random,quadrant,troi
2158.981695929087,20750.584379138003,19151.943499228964
1714.9798559667397,19918.431491046827,20180.397659878683
2614.8103723107797,10307.878459996451,19772.184208095325
786.2922842952477,16490.956143823747,19340.45817030199
1400.676772799866,15882.675729501714,24763.17530944305
489.08336565004385,24070.843286134535,25083.10183453961
871.8544623573816,14483.899119027255,15569.034115216911
1032.5159949375584,10459.011574396523,16322.501265002185
2916.2936498687686,15904.647898320336,22806.018917125508
1304.9286296959988,8322.662878188119,12264.284946758373
2940.4214508305145,22839.474089295945,37370.61349787841
2993.22872940762,12250.688377923352,31862.763045549465
1548.1591004563084,20222.383573948104,33661.480348534526
924.0196232896745,20766.91685823853,33183.00753655611
693.7729012760797,14657.006632365648,17185.07890028821
3815.218274917603,17773.446973971902,18669.272676798202
1470.6826620432425,23014.89310309746,31301.496688329848
3067.8513760836786,13914.668942413511,18280.862610073007
3452.3549412273983,38289.80333863026,54041.96616285862
7693.137090747556,20749.69270184437,32217.3604487469
5966.291232591392,16308.329753046359,23156.110710444107
1198.7309915706724,17092.08715872713,27773.930402550024
1245.4879557261493,10894.001367854293,47118.76263476218
630.9633889619622,31121.35737751613,53548.81836756629
2232.2078557552904,27590.964493353764,34837.4238079371
2414.0543249671373,18139.822961117614,18515.71124712364
2350.2504006336644,13948.306677665842,18307.038680748145
2450.4441731489756,21472.61776874298,38416.1369257349
5830.956015347771,22472.888469370733,25172.699262738122
1737.6543410752035,26124.159456048998,38247.273044354755
14283.273025243529,51182.25266788692,51378.35218952874
2287.123807642842,15926.315715374798,31101.34760381704
1068.138169528057,16978.047561940395,27217.661090272763
1124.7409422638189,37117.00358038725,53283.23983439921
1341.8239344013052,30842.614063901656,34366.96664770726
1648.072402942602,12728.947595560438,26607.83043211113
1026.8864569296916,12611.326031186163,24133.21025236868
1546.8603197304644,28972.97276849803,39624.74581668407
1111.0845245205285,12641.191707926431,16053.368640848523
43975.49222642966,23707.175639610177,71766.61839374529
942.425020549569,17812.755978146586,24527.98699089837
3933.192868439164,38817.11670722712,45939.66137919578
737.3484576840941,9387.911998327752,22185.417169718607
668.917053260359,14070.38743949485,15712.161791114679
1458.3600777414374,11515.533244329594,24121.307762077402
1597.8776508081683,16181.530098635556,19429.139152227574
373.7546207609169,15143.717401612048,22467.076703013936
1875.20835814731,26183.05445943362,34296.528046864005
1291.4730225310227,14819.913236515196,32368.304046292043
633.6542295934507,20558.8048927473,36372.56239050674
1464.622218835207,28095.26645972845,40915.59711018493
1699.1216373702625,23118.2428897598,35287.6318824186
4916.712339444346,13739.664835508256,50339.639979181055
2189.4967154896044,16881.566502306207,33801.48493520363
1331.8421117484013,19035.288633431785,22364.02015157466
1747.8644427654058,20766.895195502566,40418.53715265955
1077.5626333710602,6967.815609170633,15453.057080322827
1369.1719094670239,41879.32805120224,60618.07425135976
606.9113169273915,19558.12294770245,30895.573535679716
1929.1125061232249,32484.542521736676,43982.97604918314
1927.131187400194,12494.251393132427,17319.072792679235
1182.7886685781395,26132.570296642352,26733.030979053176
821.5047547876483,16040.36883461878,19925.18888934297
2376.008498239345,11481.061615134622,41778.03577472614
1638.0633018554347,12084.470172147683,19518.585244276794
350.91131688530925,32665.353430137304,36598.570129130814
1557.6584958103128,21656.197345026405,50764.381032175545
1129.6780328083657,18460.229145998368,24315.401776547922
506.6193410747224,20182.257222384218,21443.4695847525
1160.2092690253892,33126.998883382505,39493.37390180393
1037.4763419232434,47974.301050411166,61172.17309221129
465.3730082680385,15520.206304006324,19951.769113039663
1728.3335305852174,23505.468200541833,26804.830287626293
1664.9577407208756,13088.488212353586,23341.00353558321
1978.591845973205,21075.903511378197,22002.340332212636
1678.8412598800273,21490.62925728623,28097.819579753857
1343.3352376168891,8256.29746133959,15827.275220079595
3054.986179111707,36404.134412461266,44118.65703383173
2120.65842927451,14470.438784889624,21048.86043990635
2823.265011138913,20971.16656679524,25135.24128346143
21568.443890640392,26292.787516715463,61574.31341866845
6168.964743328825,26792.561229604067,37783.33788336147
2567.413508661628,10476.054144371677,18445.11955201
1283.181101221695,20250.7463555988,33867.31514663718
1723.4229197546726,8676.968544738002,19480.978088620494
1057.2545719624168,13098.969229342743,13098.969229342743
1247.539099712534,19861.847276329758,28285.296725380253
1168.9679993180087,17872.513149218605,29332.006139149926
664.7218454837115,14341.819229197763,18966.49542929024
1677.0246641811466,10168.993345087018,21299.894550576842
2866.307159661949,19288.649694153533,25012.39997479767
2304.2802745448234,22950.362452168618,23406.65498241194
1824.1429578421123,29647.675071876638,50028.596566347005
1401.386847164673,9832.752863660437,13591.57151768288
910.131945374005,18712.53249748058,21926.660180622588
3596.379211475273,15462.42510259523,30633.52852136399
844.8473325603065,26104.559740999113,32322.299831024062
7843.7668513804465,24128.69683322381,42205.55241086353
2005.2941358861528,14755.176642174472,24558.942975655267
3065.68473503777,17455.678513182873,16346.183834010319
1711.740915451457,14766.628230559209,35019.68543825076
319.48252169110475,15791.244244133351,22591.67406570221
1106.857758683678,26607.34308951584,40497.88783113847
1086.0503198598108,25117.80376629449,25957.51427361946
1740.1057831849103,19466.037768444912,23458.739446677257
911.1597919582273,25178.922777904103,30226.19783965592
7372.6637097357725,19190.084022595973,38464.20213252864
1485.0513356057288,28240.001891773445,35635.46089724446
1167.9099864340292,9666.856490682025,93633.57118144147
950.5130996349219,21845.063217621504,26022.589492030333
2699.252704871259,30285.615263994863,36217.196099642715
3020.287446873404,17301.481151384636,24146.363491169832
2797.059953016294,59339.0301416887,102620.38332697355
9547.637041727161,38361.72482359292,43393.31926687707
1008.461381639732,23811.622577397655,36393.971974910644
1548.4159665654197,24011.744462323462,41243.876392420294
3786.401467837623,18845.252216938916,32109.713672390946
1246.2721686865461,16727.643180532858,34399.36277774066
3449.1668421916274,23957.598424369065,35237.58680355355
1180.6518464247506,12896.125481136436,15874.341332515038
1130.1501538150474,14741.87131966366,29347.585979148407
1687.2089942353007,16814.057174714315,20460.0695969539
879.2469748177355,19959.96546285637,75288.9783114202
8145.958635797374,17793.482336751807,37469.807251044615
1415.5860445801088,18772.54386321875,26930.0866732568
618.2041865807098,14422.964211303532,20527.843335131496
5183.604766020431,13704.412909490187,19310.435546175308
530.4843374511623,19941.062728495486,22205.43248005438
1074.3868673324193,20244.825693282808,30158.34358222326
1338.9186454317585,17560.518223577696,33478.85741182368
969.779626411181,14184.904014161333,14395.575828495557
4716.790641192817,43491.699572308455,55323.80046097497
520.1347529377643,18702.19581691065,21655.4837291469
1154.869264695011,28833.96905112948,44410.75271797
1188.9378499542324,16733.416557726945,24216.483730379387
1517.4063536250712,13769.95102685066,26266.532557685867
1059.0879473993568,12608.219227464178,21092.030355236606
2140.913094619964,13916.943635116904,41550.60176935849
1274.1147708134417,15287.084059430008,26388.043315775478
1906.8160061316144,40867.99938457081,44514.642237244574
1217.9309665864491,7622.706923278118,21237.004277197095
2889.316112219119,23727.31169550143,23274.201676155768
3138.7280783525102,24278.45241542642,36277.34644190329
490.8429976156698,13964.205610103934,19196.23281242893
2470.106372916011,11143.535833844453,16719.745497549422
4086.7562082846252,19471.784041782917,25818.447467236892
3628.580756762835,13731.569427905373,21122.197941034243
761.9066442566156,26000.838321265426,35956.04649243773
2782.5617839189185,29298.044522179018,36817.73482538366
752.4530181893275,35206.97455479505,60619.975424342905
1607.3691906383542,13905.950013966218,17293.948090703703
1161.10742564059,21494.385195709525,32707.44985747251
1387.0880264829127,36402.784216651395,41064.9955455919
1712.20402341172,20100.510469908782,51128.5343698441
1296.5601925925785,14481.04971609754,18751.478586197096
1405.372134718015,14538.151938049314,18743.345589484954
1577.5147540409732,25700.491400789982,28988.423801628087
705.7262244576867,16079.411249469542,36265.84965409895
2646.339579802822,26826.922869571903,46265.66081055319
2552.2892088885214,44513.869349073226,55454.43777916227
3871.6287491646767,16451.8775931904,25296.86733220141
22531.021905912407,22355.850836279154,58025.51011091706
5403.214864265945,21206.084232348414,30479.273116250988
4568.987188906251,17651.242872726394,29332.59473216999
2763.667330456686,31019.668407581503,34369.32068295223
1388.802111021381,14392.10348038388,18538.104023940155
1966.438635755919,19343.54765249109,46578.747928112745
1544.5203656552972,12721.69295019923,26592.657519145534
2731.3684975274996,15080.565237142078,17740.63932799551
2757.6427000697404,20683.27999791653,37842.083067707994
3042.0737430426384,20363.344336489667,37939.27722580512
1430.1893878705278,18435.771312860783,27748.20982390826
3102.3070923304967,15122.020463680301,17478.88776299355
903.15526758642,18259.97498074789,23823.858069617443
1828.928877509913,19543.0299821844,21677.42543949658
2478.536436623639,35578.46983316068,49844.743138401864
1646.9012076292372,15751.911885881127,23954.70737958937
1272.1533221435895,22092.285078269782,29167.847540971405
1789.0992466986645,9230.456681703028,25338.431453197765
9292.851452252771,11683.309567522385,18411.35952009695
2119.1282645078154,14081.202711013573,43039.140180068716
651.5472814131564,13933.080984223225,23778.61787597142
711.3032375037293,15770.471371704907,30174.742881718234
728.7817164053475,37051.00307247801,43814.78044628833
2737.4813115104753,24527.232042723623,25799.30870414366
748.1637647051751,15469.58510548896,18474.693572946115
2040.0273764893027,17084.498497401,19844.796815810492
693.2064608672266,15657.703731624186,27924.350918257467
3494.90600824197,22475.320352835988,47810.24774004697
672.0660527585675,25094.563627294487,33732.35671868887
707.6377890462378,15317.872389876173,22889.658623368006
1034.655857395891,21953.37252193043,32505.880402159575
1523.288413295565,12321.14994518426,31037.26142680954
1254.043160226092,30074.027930958902,30133.657533187892
1594.5257114410135,18608.92393627711,26018.013975573656
1205.4112874950597,11486.042572468117,23618.737794223947
